origin,destination,mid,second_status,scheduled_time,scheduled_date,destination_icao,dow,flight_num,status1,actual_date,origin_icao,airline_icao,airline,international,airplane_type,belt,miladi_scheduled,terminal,counter,status2,actual_time,delay,miladi_actual,gate,type_,register,Airline,Date
AZD,تهران,AZD_7597,NULL,20:05:00,1402-02-02,OIII,شنبه,IRM1022,پروازکرد20:10,1402-02-02,OIYY,W5,ماهان,false,NULL,,2023-04-22, ترمینال خروجی داخلی,8,NULL,20:10:00,NULL,2023-04-22,2,departure,NULL,irm,1402-02-02
تهران,KER,KER_6417e57e9f635406f3876533,پایان دریافت بار ,20:00:00,1402-02-02,OIKK,شنبه,IRM1055,LANDED,1402-02-02,OIII,IRM,ماهان ,false,A300-600,1,2023-04-22,Domestic Arrivals,,نشست ,19:47:00,-13,2023-04-22,,arrival,,irm,1402-02-02
THR,بندرعباس,THR_6409648361c48a041827b0f1,,19:20:00,1402-02-02,OIKB,شنبه,IRM4593,Departed,1402-02-02,OIII,IRM,ماهان ,false,A310,,2023-04-22,Terminal 4,19,پرواز كرد ,19:37:00,17,2023-04-22,7,departure,EPMED,irm,1402-02-02
THR,بم,THR_6409631e61c48a041ca787e6,,18:55:00,1402-02-02,OIKM,شنبه,IRM4577,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ85,,2023-04-22,Terminal 4,18,پرواز كرد ,19:24:00,29,2023-04-22,6,departure,EPMEB,irm,1402-02-02
کرمان,THR,THR_6409935dfb6d39045159ea92,پایان دریافت بار ,19:50:00,1402-02-02,OIII,شنبه,IRM1078,LANDED,1402-02-02,OIKK,IRM,ماهان ,false,RJ85,3,2023-04-22,Terminal 6,,نشست ,19:21:00,-29,2023-04-22,,arrival,EPMOQ,irm,1402-02-02
THR,زاهدان,THR_640963b5fb6d39044f5433d3,,19:05:00,1402-02-02,OIZH,شنبه,IRM4541,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ85,,2023-04-22,Terminal 4,20,پرواز كرد ,19:16:00,11,2023-04-22,9,departure,EPMOI,irm,1402-02-02
تهران,XBJ,XBJ_643fa50335694f8a1dd10867,پایان دریافت بار ,19:30:00,1402-02-02,OIMB,شنبه,IRM1049,LANDED,1402-02-02,OIII,IRM,ماهان ,false,BAE146,,2023-04-22,Domestic Arrivals,,نشست ,19:15:00,-15,2023-04-22,,arrival,,irm,1402-02-02
تهران,AZD,AZD_7592,پایان دریافت بار,19:10:00,1402-02-02,OIYY,شنبه,IRM1023, نشست19:15,1402-02-02,OIII,W5,ماهان,false,146-100,,2023-04-22,ترمینال ورودی داخلی,,NULL,19:15:00,NULL,2023-04-22,,arrival,NULL,irm,1402-02-02
اردبیل,THR,THR_6432bcb5fb6d391ebcf3b42a,پایان دریافت بار ,19:15:00,1402-02-02,OIII,شنبه,IRM1027,LANDED,1402-02-02,OITL,IRM,ماهان ,false,RJ100,5,2023-04-22,Terminal 6,,نشست ,19:05:00,-10,2023-04-22,,arrival,EPMOG,irm,1402-02-02
کرمان,THR,THR_6409b102fb6d39045159ebb3,پایان دریافت بار ,19:20:00,1402-02-02,OIII,شنبه,IRM1054,LANDED,1402-02-02,OIKK,IRM,ماهان ,false,A310,4,2023-04-22,Terminal 6,,نشست ,18:57:00,-23,2023-04-22,,arrival,EPMMP,irm,1402-02-02
THR,کرمان,THR_640962bbfb6d39044b2ed2ef,,18:20:00,1402-02-02,OIKK,شنبه,IRM1055,Departed,1402-02-02,OIII,IRM,ماهان ,false,A310,,2023-04-22,Terminal 4,"22, 23, 24",پرواز كرد ,18:39:00,19,2023-04-22,"4, 5",departure,EPMNO,irm,1402-02-02
ADU,تهران,ADU_642517a9c678110577b150d2,,18:00:00,1402-02-02,OIII,شنبه,IRM1027,Departed,1402-02-02,OITL,IRM,ماهان ,false,RJ85,,2023-04-22,Domestic Departure,"2, 3",پرواز كرد ,18:16:00,16,2023-04-22,1,departure,,irm,1402-02-02
THR,یزد,THR_64096226fb6d3904521b7a3a,,18:00:00,1402-02-02,OIYY,شنبه,IRM1023,Departed,1402-02-02,OIII,IRM,ماهان ,false,BAE146,,2023-04-22,Terminal 4,25,پرواز كرد ,18:13:00,13,2023-04-22,5,departure,EPMOM,irm,1402-02-02
KER,تهران,KER_6417e95e9f635406f3876a4e,,18:00:00,1402-02-02,OIII,شنبه,IRM1078,Departed,1402-02-02,OIKK,IRM,ماهان ,false,146-300,,2023-04-22,Domestic Departure,4,پرواز كرد ,17:59:00,-1,2023-04-22,,departure,,irm,1402-02-02
تبریز,THR,THR_6409922dfb6d39044b2ed42e,پایان دریافت بار ,18:00:00,1402-02-02,OIII,شنبه,IRM1001,LANDED,1402-02-02,OITT,IRM,ماهان ,false,146-200,2,2023-04-22,Terminal 6,,نشست ,17:53:00,-7,2023-04-22,,arrival,EPMOE,irm,1402-02-02
THR,بیرجند,THR_64096111fb6d39044c6f4bdf,,17:40:00,1402-02-02,OIMB,شنبه,IRM1049,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ85,,2023-04-22,Terminal 4,21,پرواز كرد ,17:50:00,10,2023-04-22,6,departure,EPMOR,irm,1402-02-02
KER,تهران,KER_6417eade9f635406f3876edb,,17:40:00,1402-02-02,OIII,شنبه,IRM1054,Departed,1402-02-02,OIKK,IRM,ماهان ,false,A-310-300,,2023-04-22,Domestic Departure,"2, 3, 5",پرواز كرد ,17:48:00,8,2023-04-22,1,departure,,irm,1402-02-02
THR,سیرجان,THR_6409607561c48a041acf9c78,,17:30:00,1402-02-02,OIKY,شنبه,IRM1073,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ85,,2023-04-22,Terminal 4,24,پرواز كرد ,17:41:00,11,2023-04-22,7,departure,EPMEA,irm,1402-02-02
تهران,ADU,ADU_642517e7c678110577b1528a,پایان دریافت بار ,17:15:00,1402-02-02,OITL,شنبه,IRM1026,LANDED,1402-02-02,OIII,IRM,ماهان ,false,RJ85,2,2023-04-22,Domestic Arrivals,,نشست ,17:20:00,5,2023-04-22,,arrival,,irm,1402-02-02
TBZ,تهران,TBZ_27910,NULL,16:45:00,1402-02-02,OIII,شنبه,IRM1001,پروازکرد17:05,1402-02-02,OITT,W5, ماهان,false,146-100,,2023-04-22,خروجی داخلی,2-3,NULL,17:05:00,NULL,2023-04-22,1,departure,NULL,irm,1402-02-02
KHD,تهران,KHD_788,NULL,17:00:00,1402-02-02,OIII,شنبه,IRM1005, باطل شد ,1402-02-02,OICK,W5, ماهان,false,NULL,,2023-04-22,خروجی داخلی,,NULL,17:00:00,NULL,2023-04-22,,departure,NULL,irm,1402-02-02
كيش,THR,THR_640989f161c48a041827b2bb,پایان دریافت بار ,17:10:00,1402-02-02,OIII,شنبه,IRM1042,LANDED,1402-02-02,OIBK,IRM,ماهان ,false,A310,4,2023-04-22,Terminal 6,,نشست ,16:52:00,-18,2023-04-22,,arrival,EPMED,irm,1402-02-02
THR,اردبیل,THR_64095f2d61c48a041b72c446,,16:05:00,1402-02-02,OITL,شنبه,IRM1026,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ100,,2023-04-22,Terminal 4,20,پرواز كرد ,16:29:00,24,2023-04-22,7,departure,EPMOG,irm,1402-02-02
بغداد,KER,KER_6417e8c29f635406f3876982,پایان دریافت بار ,16:30:00,1402-02-02,OIKK,شنبه,IRM1125,LANDED,1402-02-02,ORBI,IRM,ماهان ,true,A500,1,2023-04-22,International Arrival,,نشست ,16:11:00,-19,2023-04-22,,arrival,,irm,1402-02-02
ارومیه,THR,THR_6422693f61c48a3054bb3fb9,پایان دریافت بار ,16:05:00,1402-02-02,OIII,شنبه,IRM1003,LANDED,1402-02-02,OITR,IRM,ماهان ,false,RJ85,5,2023-04-22,Terminal 6,,نشست ,16:06:00,1,2023-04-22,,arrival,EPMEB,irm,1402-02-02
تهران,KHD,KHD_789,NULL,16:00:00,1402-02-02,OICK,شنبه,IRM1006, باطل شد ,1402-02-02,OIII,W5, ماهان,false,NULL,,2023-04-22,ورودی داخلی,,NULL,16:00:00,NULL,2023-04-22,,arrival,NULL,irm,1402-02-02
مشهد,THR,THR_6409794a61c48a041acf9dbb,پایان دریافت بار ,16:15:00,1402-02-02,OIII,شنبه,IRM1080,LANDED,1402-02-02,OIMM,IRM,ماهان ,false,A310,3,2023-04-22,Terminal 6,,نشست ,15:57:00,-18,2023-04-22,,arrival,EPMNO,irm,1402-02-02
تهران,TBZ,TBZ_27909,دریافت بار,16:00:00,1402-02-02,OITT,شنبه,IRM1002, نشست15:40,1402-02-02,OIII,W5, ماهان,false,146-100,,2023-04-22,ورودی داخلی,,NULL,15:40:00,NULL,2023-04-22,,arrival,NULL,irm,1402-02-02
یاسوج,THR,THR_6409896061c48a041991a993,پایان دریافت بار ,15:15:00,1402-02-02,OIII,شنبه,IRM4523,LANDED,1402-02-02,OISY,IRM,ماهان ,false,RJ85,3,2023-04-22,Terminal 6,,نشست ,15:05:00,-10,2023-04-22,,arrival,EPMEA,irm,1402-02-02
OMH,تهران,OMH_3855,NULL,14:25:00,1402-02-02,OIII,شنبه,IRM1003,پروازکرد14:50,1402-02-02,OITR,W5, ماهان,false,NULL,,2023-04-22,ترمینال خروجی داخلی,5-6,NULL,14:50:00,NULL,2023-04-22,2,departure,NULL,irm,1402-02-02
MHD,تهران,MHD_640db360b6e5e6ff8de4c867,,14:45:00,1402-02-02,OIII,شنبه,IRM1080,Departed,1402-02-02,OIMM,IRM,ماهان ,false,A310,,2023-04-22,Domestic Departure,"1, 2, 3",پرواز كرد ,14:50:00,5,2023-04-22,11,departure,,irm,1402-02-02
THR,تبریز,THR_6409676d61c48a041dd6ab87,,14:35:00,1402-02-02,OITT,شنبه,IRM1002,Departed,1402-02-02,OIII,IRM,ماهان ,false,146-200,,2023-04-22,Terminal 4,18,پرواز كرد ,14:41:00,6,2023-04-22,6,departure,EPMOE,irm,1402-02-02
تبریز/اصفهان,KER,KER_6417e6169f635406f3876614,پایان دریافت بار ,14:30:00,1402-02-02,OIKK,شنبه,IRM4561,LANDED,1402-02-02,OITT,IRM,ماهان ,false,146-300,1,2023-04-22,Domestic Arrivals,,نشست ,14:40:00,10,2023-04-22,,arrival,,irm,1402-02-02
تهران,OMH,OMH_3851,پایان دریافت بار,13:45:00,1402-02-02,OITR,شنبه,IRM1004, نشست13:50,1402-02-02,OIII,W5, ماهان,false,NULL,,2023-04-22,ترمینال ورودی داخلی,,NULL,13:50:00,NULL,2023-04-22,,arrival,NULL,irm,1402-02-02
IFN,کرمان,IFN_24662,NULL,13:20:00,1402-02-02,OIKK,شنبه,IRM04561,پروازکرد13:35,1402-02-02,OIFM,W5, ماهان,false,146-100,,2023-04-22, ترمینال خروجی داخلی,1-2,NULL,13:35:00,NULL,2023-04-22,5,departure,NULL,irm,1402-02-02
THR,ارومیه,THR_642268fa61c48a32f61ba130,,12:35:00,1402-02-02,OITR,شنبه,IRM1004,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ85,,2023-04-22,Terminal 4,24,پرواز كرد ,12:46:00,11,2023-04-22,9,departure,EPMEB,irm,1402-02-02
THR,كيش,THR_6438d071fb6d392009119bb2,,12:25:00,1402-02-02,OIBK,شنبه,IRM1043,Departed,1402-02-02,OIII,IRM,ماهان ,false,A310,,2023-04-22,Terminal 4,"20, 21, 22",پرواز كرد ,12:43:00,18,2023-04-22,"6, 7",departure,EPMED,irm,1402-02-02
مزارشریف,MHD,MHD_640dbd7db6e5e6fbfaa4f5ac,پایان دریافت بار ,13:30:00,1402-02-02,OIMM,شنبه,IRM5130,LANDED,1402-02-02,OAMS,IRM,ماهان ,true,A310,6,2023-04-22,International Arrival,,نشست ,12:43:00,-47,2023-04-22,,arrival,,irm,1402-02-02
تبریز,IFN,IFN_24661,پایان دریافت بار,12:30:00,1402-02-02,OIFM,شنبه,IRM4561, نشست12:25,1402-02-02,OITT,W5, ماهان,false,146-100,,2023-04-22,ترمینال ورودی داخلی,,NULL,12:25:00,NULL,2023-04-22,,arrival,NULL,irm,1402-02-02
گچساران,THR,THR_64098747fb6d39044b2ed3ec,پایان دریافت بار ,12:15:00,1402-02-02,OIII,شنبه,IRM4521,LANDED,1402-02-02,OIAH,IRM,ماهان ,false,RJ85,3,2023-04-22,Terminal 6,,نشست ,12:17:00,2,2023-04-22,,arrival,EPMOR,irm,1402-02-02
ایرانشهر,THR,THR_64097da361c48a041991a967,پایان دریافت بار ,12:40:00,1402-02-02,OIII,شنبه,IRM4526,LANDED,1402-02-02,OIZI,IRM,ماهان ,false,rj100,5,2023-04-22,Terminal 6,,نشست ,12:08:00,-32,2023-04-22,,arrival,EPMOI,irm,1402-02-02
THR,یاسوج,THR_64095d4061c48a041ca787a3,,11:30:00,1402-02-02,OISY,شنبه,IRM4522,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ85,,2023-04-22,Terminal 4,24,پرواز كرد ,11:43:00,13,2023-04-22,7,departure,EPMEA,irm,1402-02-02
KER,بغداد,KER_6417e9499f635406f3876a2c,,11:00:00,1402-02-02,ORBI,شنبه,IRM1124,Departed,1402-02-02,OIKK,IRM,ماهان ,true,A313,,2023-04-22,International Departure,"1, 3",پرواز كرد ,11:11:00,11,2023-04-22,,departure,,irm,1402-02-02
زابل,THR,THR_643b890561c48a2faec06bad,پایان دریافت بار ,11:40:00,1402-02-02,OIII,شنبه,IRM1084,LANDED,1402-02-02,OIZB,IRM,ماهان ,false,BAE146,2,2023-04-22,Terminal 6,,نشست ,11:09:00,-31,2023-04-22,,arrival,EPMOE,irm,1402-02-02
اردبیل,THR,THR_6409848961c48a041827b1d9,پایان دریافت بار ,11:15:00,1402-02-02,OIII,شنبه,IRM4537,LANDED,1402-02-02,OITL,IRM,ماهان ,false,RJ85,3,2023-04-22,Terminal 6,,نشست ,10:55:00,-20,2023-04-22,,arrival,EPMEB,irm,1402-02-02
عسلویه,THR,THR_640980a3fb6d390450bbe45f,پایان دریافت بار ,11:20:00,1402-02-02,OIII,شنبه,IRM1017,LANDED,1402-02-02,OIBI,IRM,ماهان ,false,A310,5,2023-04-22,Terminal 6,,نشست ,10:49:00,-31,2023-04-22,,arrival,EPMED,irm,1402-02-02
اصفهان,THR,THR_6409830bfb6d39044d9fac7a,پایان دریافت بار ,10:30:00,1402-02-02,OIII,شنبه,IRM4532,LANDED,1402-02-02,OIFM,IRM,ماهان ,false,RJ100,3,2023-04-22,Terminal 6,,نشست ,10:19:00,-11,2023-04-22,,arrival,EPMOG,irm,1402-02-02
ADU,تهران,ADU_642facd1c678110577b1594d,,10:00:00,1402-02-02,OIII,شنبه,IRM4537,Departed,1402-02-02,OITL,IRM,ماهان ,false,RJ85,,2023-04-22,Domestic Departure,"2, 3",پرواز كرد ,09:59:00,-1,2023-04-22,1,departure,,irm,1402-02-02
IFN,تهران,IFN_24649,NULL,09:30:00,1402-02-02,OIII,شنبه,IRM4532,پروازکرد09:30,1402-02-02,OIFM,W5, ماهان,false,146-100,,2023-04-22, ترمینال خروجی داخلی,1-2,NULL,09:30:00,NULL,2023-04-22,5,departure,NULL,irm,1402-02-02
تهران,KER,KER_6417e5399f635406f3876450,پایان دریافت بار ,09:50:00,1402-02-02,OIKK,شنبه,IRM1051,LANDED,1402-02-02,OIII,IRM,ماهان ,false,A300-600,1,2023-04-22,Domestic Arrivals,,نشست ,09:24:00,-26,2023-04-22,,arrival,,irm,1402-02-02
MHD,مزارشریف,MHD_640dbd3ab6e5e6fc7cb65c6b,,09:00:00,1402-02-02,OAMS,شنبه,IRM5131,Departed,1402-02-02,OIMM,IRM,ماهان ,true,A310,,2023-04-22,International Departure,"12, 13",پرواز كرد ,08:57:00,-3,2023-04-22,1,departure,,irm,1402-02-02
تهران,ADU,ADU_6425177cc678110577b14ee1,دریافت بار از نقاله ,09:15:00,1402-02-02,OITL,شنبه,IRM4536,LANDED,1402-02-02,OIII,IRM,ماهان ,false,RJ85,2,2023-04-22,Domestic Arrivals,,نشست ,08:56:00,-19,2023-04-22,,arrival,,irm,1402-02-02
THR,گچساران,THR_64095bcc61c48a041b72c404,,08:20:00,1402-02-02,OIAH,شنبه,IRM4520,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ85,,2023-04-22,Terminal 4,21,پرواز كرد ,08:36:00,16,2023-04-22,5,departure,EPMOR,irm,1402-02-02
تهران,IFN,IFN_24648,پایان دریافت بار,08:40:00,1402-02-02,OIFM,شنبه,IRM4533, نشست08:35,1402-02-02,OIII,W5, ماهان,false,146-100,,2023-04-22,ترمینال ورودی داخلی,,NULL,08:35:00,NULL,2023-04-22,,arrival,NULL,irm,1402-02-02
IFN,تبریز,IFN_24663,NULL,08:10:00,1402-02-02,OITT,شنبه,IRM04560,پروازکرد08:30,1402-02-02,OIFM,W5, ماهان,false,146-100,,2023-04-22, ترمینال خروجی داخلی,1-2,NULL,08:30:00,NULL,2023-04-22,5,departure,NULL,irm,1402-02-02
THR,کرمان,THR_64095b5dfb6d39044ea6f1de,,08:10:00,1402-02-02,OIKK,شنبه,IRM1051,Departed,1402-02-02,OIII,IRM,ماهان ,false,A310,,2023-04-22,Terminal 4,"22, 23, 24",پرواز كرد ,08:17:00,7,2023-04-22,"6, 7",departure,EPMMP,irm,1402-02-02
THR,اردبیل,THR_64095ae8fb6d390450bbe31a,,08:00:00,1402-02-02,OITL,شنبه,IRM4536,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ85,,2023-04-22,Terminal 4,20,پرواز كرد ,08:03:00,3,2023-04-22,4,departure,EPMEB,irm,1402-02-02
THR,اصفهان,THR_64095a6861c48a041dd6aa6b,,07:30:00,1402-02-02,OIFM,شنبه,IRM4533,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ100,,2023-04-22,Terminal 4,18,پرواز كرد ,07:47:00,17,2023-04-22,6,departure,EPMOG,irm,1402-02-02
تهران,MHD,MHD_640db29db6e5e6fbfaa4f4cb,,07:25:00,1402-02-02,OIMM,شنبه,IRM1081,ONTIME,1402-02-02,OIII,IRM,ماهان ,false,A310,,2023-04-22,Domestic Arrivals,,طبق برنامه ,07:25:00,0,2023-04-22,,arrival,,irm,1402-02-02
کرمان,IFN,IFN_24660,پایان دریافت بار,07:10:00,1402-02-02,OIFM,شنبه,IRM4560, نشست07:10,1402-02-02,OIKK,W5, ماهان,false,146-100,,2023-04-22,ترمینال ورودی داخلی,,NULL,07:10:00,NULL,2023-04-22,,arrival,NULL,irm,1402-02-02
یزد,THR,THR_640996c1fb6d39044c6f4c2f,پایان دریافت بار ,07:15:00,1402-02-02,OIII,شنبه,IRM1020,LANDED,1402-02-02,OIYY,IRM,ماهان ,false,RJ100,3,2023-04-22,Terminal 6,,نشست ,06:55:00,-20,2023-04-22,,arrival,EPMOM,irm,1402-02-02
THR,عسلویه,THR_640959ddfb6d3904521b79b8,,06:25:00,1402-02-02,OIBI,شنبه,IRM1016,Departed,1402-02-02,OIII,IRM,ماهان ,false,A310,,2023-04-22,Terminal 4,"22, 23",پرواز كرد ,06:36:00,11,2023-04-22,7,departure,EPMED,irm,1402-02-02
THR,زابل,THR_64095a0461c48a041991a8b6,,06:15:00,1402-02-02,OIZB,شنبه,IRM1085,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ100,,2023-04-22,Terminal 4,24,پرواز كرد ,06:33:00,18,2023-04-22,4,departure,EPMOE,irm,1402-02-02
کرمان,THR,THR_6409942bfb6d39044d9facd1,پایان دریافت بار ,07:10:00,1402-02-02,OIII,شنبه,IRM1050,LANDED,1402-02-02,OIKK,IRM,ماهان ,false,A310,4,2023-04-22,Terminal 6,,نشست ,06:31:00,-39,2023-04-22,,arrival,EPMMP,irm,1402-02-02
THR,ایرانشهر,THR_640958ff61c48a041efdbb3e,,06:05:00,1402-02-02,OIZI,شنبه,IRM4527,Departed,1402-02-02,OIII,IRM,ماهان ,false,RJ85,,2023-04-22,Terminal 4,18,پرواز كرد ,06:24:00,19,2023-04-22,5,departure,EPMOI,irm,1402-02-02
THR,مشهد,THR_6409589661c48a041991a7da,,05:55:00,1402-02-02,OIMM,شنبه,IRM1081,Departed,1402-02-02,OIII,IRM,ماهان ,false,A310,,2023-04-22,Terminal 4,"19, 20, 21",پرواز كرد ,06:10:00,15,2023-04-22,6,departure,EPMNO,irm,1402-02-02
AZD,تهران,AZD_7594,NULL,06:00:00,1402-02-02,OIII,شنبه,IRM1020,پروازکرد06:00,1402-02-02,OIYY,W5,ماهان,false,NULL,,2023-04-22, ترمینال خروجی داخلی,"4,8",NULL,06:00:00,NULL,2023-04-22,2,departure,NULL,irm,1402-02-02
KER,اصفهان/تبریز,KER_6417e9349f635406f38769e8,,06:00:00,1402-02-02,OIFM,شنبه,IRM4560,ONTIME,1402-02-02,OIKK,IRM,ماهان ,false,146-300,,2023-04-22,Domestic Departure,"2, 3, 4",طبق برنامه ,06:00:00,0,2023-04-22,,departure,,irm,1402-02-02
KER,تهران,KER_6417ea889f635406f3876c9b,,05:30:00,1402-02-02,OIII,شنبه,IRM1050,ONTIME,1402-02-02,OIKK,IRM,ماهان ,false,A300-600,,2023-04-22,Domestic Departure,"2, 3, 4, 5",طبق برنامه ,05:30:00,0,2023-04-22,,departure,,irm,1402-02-02
ZAH,تهران,ZAH_4316,NULL,05:00:00,1402-02-02,OIII,شنبه,IRM1070, باطل شد ,1402-02-02,OIZH,W5, ماهان,false,NULL,,2023-04-22,خروجی داخلی,,NULL,05:00:00,NULL,2023-04-22,,departure,NULL,irm,1402-02-02
تهران,KER,KER_6417e6a39f635406f387673d,,01:20:00,1402-02-02,OIKK,شنبه,IRM1053,ONTIME,1402-02-02,OIII,IRM,ماهان ,false,A300-600,,2023-04-22,Domestic Arrivals,,طبق برنامه ,01:20:00,0,2023-04-22,,arrival,,irm,1402-02-02
زاهدان,THR,THR_6409a9a3fb6d39044d9fadb2,,00:15:00,1402-02-02,OIII,شنبه,IRM4540,ONTIME,1402-02-02,OIZH,IRM,ماهان ,false,RJ85,,2023-04-22,Terminal 6,,طبق برنامه ,00:15:00,0,2023-04-22,,arrival,,irm,1402-02-02
زاهدان,THR,THR_6442f03bfb6d391cc121af3e,پایان دریافت بار ,00:10:00,1402-02-02,OIII,شنبه,IRM4540,LANDED,1402-02-02,OIZH,IRM,ماهان ,false,146-200,5,2023-04-22,Terminal 6,,نشست ,00:05:00,-5,2023-04-22,,arrival,EPMEA,irm,1402-02-02
تهران,ZAH,ZAH_4322,پایان دریافت بار,23:55:00,1402-02-02,OIZH,یکشنبه,IRM1071, نشست00:05,1402-02-02,OIII,W5, ماهان,false,NULL,,2023-04-22,ورودی داخلی,,NULL,00:05:00,NULL,2023-04-22,,arrival,NULL,irm,1402-02-02
THR,کرمان,THR_64096745fb6d3904521b7b17,,23:40:00,1402-02-03,OIKK,یکشنبه,IRM1053,Departed,1402-02-03,OIII,IRM,ماهان ,false,AB6,,2023-04-23,Terminal 4,"18, 19, 20",پرواز كرد ,23:54:00,14,2023-04-23,"6, 7",departure,EPMNO,irm,1402-02-03
تهران,AZD,AZD_7653,پایان دریافت بار,23:50:00,1402-02-03,OIYY,دوشنبه,IRM1021, نشست23:35,1402-02-03,OIII,W5,ماهان,false,NULL,,2023-04-23,ترمینال ورودی داخلی,,NULL,23:35:00,NULL,2023-04-23,,arrival,NULL,irm,1402-02-03
THR,یزد,THR_640966c961c48a041fc622d5,,22:30:00,1402-02-03,OIYY,یکشنبه,IRM1021,Departed,1402-02-03,OIII,IRM,ماهان ,false,RJ85,,2023-04-23,Terminal 4,18,پرواز كرد ,22:49:00,19,2023-04-23,7,departure,EPMOM,irm,1402-02-03
ZAH,تهران,ZAH_4326,NULL,22:05:00,1402-02-03,OIII,یکشنبه,IRM4540,پروازکرد22:40,1402-02-03,OIZH,W5, ماهان,false,NULL,,2023-04-23,خروجی داخلی,5,NULL,22:40:00,NULL,2023-04-23,2,departure,NULL,irm,1402-02-03
کرمان,THR,THR_6409ac47fb6d39044b2ed52e,پایان دریافت بار ,22:40:00,1402-02-03,OIII,یکشنبه,IRM1052,LANDED,1402-02-03,OIKK,IRM,ماهان ,false,A310,5,2023-04-23,Terminal 6,,نشست ,22:10:00,-30,2023-04-23,,arrival,EPMMP,irm,1402-02-03
THR,زاهدان,THR_6409663961c48a041fc62218,,22:00:00,1402-02-03,OIZH,یکشنبه,IRM1071,Departed,1402-02-03,OIII,IRM,ماهان ,false,RJ85,,2023-04-23,Terminal 4,22,پرواز كرد ,22:08:00,8,2023-04-23,7,departure,EPMOI,irm,1402-02-03
بندرعباس,THR,THR_64441566fb6d391d67b725f9,,21:55:00,1402-02-03,OIII,یکشنبه,IRM4544,ONTIME,1402-02-03,OIKB,IRM,ماهان ,false,146-200,,2023-04-23,Terminal 6,,طبق برنامه ,21:55:00,0,2023-04-23,,arrival,,irm,1402-02-03
سیرجان,THR,THR_64098ca0fb6d39044ea6f312,پایان دریافت بار ,21:50:00,1402-02-03,OIII,یکشنبه,IRM1072,LANDED,1402-02-03,OIKY,IRM,ماهان ,false,BAE146,1,2023-04-23,Terminal 6,,نشست ,21:43:00,-7,2023-04-23,,arrival,EPMOR,irm,1402-02-03
تهران,ZAH,ZAH_4321,پایان دریافت بار,21:20:00,1402-02-03,OIZH,یکشنبه,IRM4541, نشست21:25,1402-02-03,OIII,W5, ماهان,false,NULL,,2023-04-23,ورودی داخلی,,NULL,21:25:00,NULL,2023-04-23,,arrival,NULL,irm,1402-02-03
یزد,THR,THR_64099035fb6d3904521b7dda,پایان دریافت بار ,21:20:00,1402-02-03,OIII,یکشنبه,IRM1022,LANDED,1402-02-03,OIYY,IRM,ماهان ,false,BAE146,1,2023-04-23,Terminal 6,,نشست ,21:08:00,-12,2023-04-23,,arrival,EPMOM,irm,1402-02-03
KER,تهران,KER_6417e9b69f635406f3876b54,,21:00:00,1402-02-03,OIII,یکشنبه,IRM1052,Departed,1402-02-03,OIKK,IRM,ماهان ,false,A500,,2023-04-23,Domestic Departure,"2, 3, 4, 5",پرواز كرد ,21:00:00,0,2023-04-23,1,departure,,irm,1402-02-03
شهرکرد,THR,THR_6409b08b61c48a041efdbc3c,پایان دریافت بار ,21:05:00,1402-02-03,OIII,یکشنبه,IRM4543,LANDED,1402-02-03,OIFS,IRM,ماهان ,false,RJ85,2,2023-04-23,Terminal 6,,نشست ,20:52:00,-13,2023-04-23,,arrival,EPMEA,irm,1402-02-03
مشهد,THR,THR_6409794c61c48a041acf9ddb,پایان دریافت بار ,21:00:00,1402-02-03,OIII,یکشنبه,IRM1080,LANDED,1402-02-03,OIMM,IRM,ماهان ,false,A310,4,2023-04-23,Terminal 6,,نشست ,20:48:00,-12,2023-04-23,,arrival,EPMNO,irm,1402-02-03
کرمان,THR,THR_6430e37d61c48a32f61baf4e,پایان دریافت بار ,20:55:00,1402-02-03,OIII,یکشنبه,IRM1066,LANDED,1402-02-03,OIKK,IRM,ماهان ,false,BAE146,3,2023-04-23,Terminal 6,,نشست ,20:32:00,-23,2023-04-23,,arrival,EPMEB,irm,1402-02-03
THR,كيش,THR_64096c7161c48a041dd6ac67,,19:50:00,1402-02-03,OIBK,یکشنبه,IRM1013,Departed,1402-02-03,OIII,IRM,ماهان ,false,A310,,2023-04-23,Terminal 4,"18, 19, 20",پرواز كرد ,20:16:00,26,2023-04-23,"6, 7",departure,EPMED,irm,1402-02-03
